"","response","age","whitecollar","bluecollar","other_job","divorced","married","single","primary","secondary","tertiary","unknown_edu"
"635","Yes",58,1,0,0,1,0,0,0,0,1,0
"636","No",33,1,0,0,1,0,0,0,0,1,0
"637","No",41,0,1,0,1,0,0,1,0,0,0
"638","No",31,1,0,0,0,1,0,0,1,0,0
"639","No",35,0,1,0,1,0,0,0,1,0,0
"640","Yes",27,1,0,0,0,0,1,0,0,1,0
"641","No",57,1,0,0,1,0,0,0,0,0,1
"642","No",56,0,0,1,0,1,0,0,0,0,1
"643","No",53,1,0,0,0,0,1,0,1,0,0
"644","Yes",39,1,0,0,0,1,0,0,0,1,0
"645","No",32,1,0,0,0,0,1,0,0,1,0
"646","Yes",46,1,0,0,0,1,0,0,1,0,0
"647","No",56,0,1,0,0,1,0,0,0,1,0
"649","No",29,1,0,0,0,1,0,0,1,0,0
"653","No",50,1,0,0,1,0,0,0,0,1,0
"654","No",45,0,1,0,0,1,0,0,1,0,0
"655","No",58,0,0,1,0,1,0,0,1,0,0
"656","No",59,0,0,1,0,1,0,1,0,0,0
"657","No",58,0,0,1,1,0,0,1,0,0,0
"660","No",40,1,0,0,0,1,0,0,0,1,0
"662","Yes",28,1,0,0,0,0,1,0,0,1,0
"663","Yes",38,0,1,0,0,0,1,0,0,1,0
"665","No",46,0,1,0,0,0,1,0,1,0,0
"667","No",32,1,0,0,0,1,0,0,0,1,0
"669","No",55,0,0,1,1,0,0,0,1,0,0
"670","No",56,0,1,0,0,1,0,0,1,0,0
"671","No",40,0,1,0,0,1,0,0,1,0,0
"674","No",33,1,0,0,0,1,0,0,0,1,0
"675","No",41,0,0,1,1,0,0,0,1,0,0
"677","No",58,1,0,0,0,0,1,0,0,1,0
"678","No",52,0,1,0,0,1,0,0,1,0,0
"679","No",49,0,1,0,0,0,1,0,1,0,0
"680","No",44,0,0,1,0,1,0,1,0,0,0
"681","No",28,1,0,0,0,0,1,0,0,0,1
"682","No",31,0,1,0,0,1,0,0,1,0,0
"683","No",37,1,0,0,0,1,0,0,1,0,0
"684","No",30,0,1,0,0,0,1,0,0,1,0
"687","No",47,1,0,0,0,1,0,0,0,1,0
"688","No",35,0,1,0,0,1,0,1,0,0,0
"689","No",80,1,0,0,0,1,0,1,0,0,0
"690","No",30,0,1,0,0,0,1,0,0,1,0
"691","No",55,0,1,0,0,0,1,0,1,0,0
"692","No",22,0,0,1,0,0,1,0,0,1,0
"693","No",33,0,1,0,0,0,1,1,0,0,0
"694","No",53,1,0,0,0,1,0,0,0,0,1
"695","No",49,1,0,0,0,1,0,0,0,1,0
"696","No",51,0,0,1,0,1,0,0,1,0,0
"697","No",41,1,0,0,0,1,0,0,0,1,0
"698","No",34,0,1,0,0,1,0,0,1,0,0
"699","No",36,0,1,0,0,0,1,0,1,0,0
"701","No",29,0,1,0,0,1,0,0,1,0,0
"702","No",40,0,1,0,0,0,1,0,0,1,0
"703","Yes",32,1,0,0,1,0,0,0,0,1,0
"704","No",48,0,1,0,0,1,0,0,1,0,0
"705","Yes",59,0,0,1,0,1,0,0,0,0,1
"706","Yes",35,1,0,0,1,0,0,0,0,1,0
"707","No",33,0,1,0,0,0,1,0,0,1,0
"708","No",55,0,0,1,0,1,0,1,0,0,0
"709","No",41,0,1,0,0,1,0,0,1,0,0
"710","No",42,0,0,1,0,1,0,1,0,0,0
"711","No",46,0,1,0,0,1,0,1,0,0,0
"712","No",35,0,0,1,1,0,0,0,1,0,0
"713","No",28,0,1,0,0,0,1,0,0,1,0
"715","No",56,1,0,0,0,0,1,0,0,1,0
"716","No",30,1,0,0,0,0,1,0,1,0,0
"717","No",45,0,1,0,0,1,0,0,1,0,0
"718","No",40,1,0,0,0,1,0,0,0,1,0
"720","No",39,0,1,0,0,1,0,0,1,0,0
"721","No",48,1,0,0,0,1,0,0,0,1,0
"722","No",31,0,1,0,0,0,1,0,0,1,0
"723","No",32,1,0,0,0,1,0,0,0,1,0
"724","No",34,0,1,0,0,1,0,0,1,0,0
"727","No",37,1,0,0,0,0,1,0,0,1,0
"728","No",29,0,0,1,0,0,1,0,0,0,1
"729","No",57,0,1,0,0,1,0,0,1,0,0
"730","No",47,1,0,0,0,0,1,0,0,1,0
"731","No",38,1,0,0,0,0,1,0,1,0,0
"733","Yes",50,1,0,0,0,1,0,0,0,1,0
"734","No",33,1,0,0,0,1,0,0,1,0,0
"735","No",28,1,0,0,0,0,1,0,1,0,0
"736","No",30,0,1,0,0,0,1,0,1,0,0
"737","No",52,0,1,0,1,0,0,0,1,0,0
"738","Yes",36,0,1,0,0,1,0,0,1,0,0
"740","No",46,0,1,0,0,1,0,0,1,0,0
"741","No",57,1,0,0,0,1,0,0,0,1,0
"742","Yes",28,1,0,0,0,0,1,0,1,0,0
"744","Yes",55,0,0,1,0,1,0,1,0,0,0
"745","No",33,1,0,0,0,1,0,0,0,1,0
"746","No",53,1,0,0,0,1,0,0,1,0,0
"747","No",41,0,1,0,0,0,1,0,1,0,0
"748","No",60,0,1,0,0,1,0,0,1,0,0
"749","No",35,1,0,0,0,1,0,1,0,0,0
"750","No",43,0,1,0,1,0,0,1,0,0,0
"751","No",57,1,0,0,1,0,0,1,0,0,0
"752","No",46,1,0,0,0,1,0,0,1,0,0
"753","No",31,0,1,0,0,1,0,1,0,0,0
"754","No",53,0,1,0,0,1,0,0,1,0,0
"755","No",35,0,1,0,0,1,0,0,1,0,0
"756","No",32,1,0,0,0,0,1,0,1,0,0
"757","Yes",48,1,0,0,0,1,0,0,0,1,0
"758","No",50,1,0,0,0,1,0,0,1,0,0
"759","No",40,0,1,0,0,1,0,1,0,0,0
"760","No",42,1,0,0,0,1,0,0,0,1,0
"761","No",59,1,0,0,0,1,0,0,1,0,0
"762","No",27,0,1,0,0,0,1,1,0,0,0
"763","No",32,1,0,0,0,0,1,0,0,1,0
"764","No",35,0,1,0,0,0,1,0,1,0,0
"767","No",57,1,0,0,0,1,0,1,0,0,0
"768","No",42,1,0,0,0,0,1,0,1,0,0
"769","No",55,1,0,0,0,1,0,1,0,0,0
"771","No",26,0,1,0,0,0,1,0,1,0,0
"772","No",52,0,1,0,0,1,0,0,1,0,0
"773","No",26,1,0,0,0,0,1,0,0,1,0
"774","No",33,0,0,1,0,1,0,0,1,0,0
"775","No",24,0,1,0,0,0,1,1,0,0,0
"776","No",37,1,0,0,1,0,0,0,0,1,0
"778","No",30,0,1,0,0,0,1,0,1,0,0
"779","No",33,0,1,0,0,1,0,1,0,0,0
"780","No",55,0,0,1,0,1,0,1,0,0,0
"781","No",33,0,1,0,0,1,0,0,1,0,0
"782","No",42,0,1,0,0,1,0,0,1,0,0
"783","No",37,1,0,0,0,1,0,0,0,1,0
"784","No",59,0,1,0,0,1,0,1,0,0,0
"785","No",27,0,1,0,0,0,1,0,1,0,0
"786","No",23,0,0,1,0,1,0,0,0,1,0
"787","No",51,1,0,0,1,0,0,0,0,1,0
"788","No",50,0,1,0,0,1,0,1,0,0,0
"789","No",43,0,1,0,0,1,0,0,1,0,0
"790","No",37,0,1,0,1,0,0,1,0,0,0
"791","No",34,1,0,0,0,0,1,0,0,1,0
"792","No",41,1,0,0,0,1,0,0,0,1,0
"793","No",26,0,0,1,0,0,1,0,1,0,0
"794","No",49,1,0,0,1,0,0,0,0,1,0
"795","Yes",29,0,1,0,0,0,1,0,1,0,0
"796","No",30,1,0,0,0,0,1,0,0,1,0
"797","No",38,0,1,0,1,0,0,0,1,0,0
"798","No",58,1,0,0,0,1,0,0,1,0,0
"800","No",53,0,1,0,1,0,0,0,0,0,1
"804","No",57,0,0,1,0,0,1,0,1,0,0
"807","No",53,0,1,0,1,0,0,0,0,0,1
"808","No",48,0,1,0,0,1,0,0,1,0,0
"810","Yes",34,1,0,0,0,1,0,0,0,1,0
"811","No",46,0,1,0,0,1,0,0,1,0,0
"812","No",45,0,1,0,1,0,0,0,1,0,0
"813","No",51,1,0,0,0,0,1,0,0,1,0
"814","No",31,1,0,0,0,1,0,0,1,0,0
"816","No",32,0,1,0,0,1,0,0,1,0,0
"817","No",41,0,1,0,0,1,0,0,1,0,0
"818","No",37,0,1,0,0,0,1,0,1,0,0
"819","No",27,0,1,0,0,0,1,1,0,0,0
"821","No",50,1,0,0,0,1,0,0,1,0,0
"825","No",39,0,1,0,0,1,0,0,0,1,0
"826","No",31,1,0,0,0,0,1,0,0,1,0
"827","No",48,0,1,0,0,1,0,0,1,0,0
"828","No",32,0,1,0,0,0,1,1,0,0,0
"830","No",35,1,0,0,0,0,1,0,0,1,0
"831","No",42,1,0,0,0,0,1,0,0,1,0
"832","Yes",47,0,1,0,0,1,0,0,1,0,0
"833","No",59,0,0,1,0,1,0,0,1,0,0
"834","No",38,1,0,0,0,1,0,0,1,0,0
"835","No",50,0,0,1,0,1,0,0,1,0,0
"836","No",27,0,1,0,0,0,1,0,1,0,0
"837","No",55,0,0,1,0,1,0,1,0,0,0
"839","No",31,0,1,0,0,0,1,0,0,1,0
"840","No",37,1,0,0,0,1,0,0,0,1,0
"841","No",28,0,1,0,0,0,1,0,1,0,0
"842","No",42,0,1,0,0,1,0,0,1,0,0
"843","No",40,0,1,0,1,0,0,0,1,0,0
"845","No",40,0,1,0,0,0,1,0,1,0,0
"846","No",43,0,1,0,0,1,0,0,1,0,0
"847","No",38,0,1,0,0,0,1,0,1,0,0
"848","No",54,0,0,1,0,1,0,1,0,0,0
"849","No",41,0,1,0,0,1,0,0,1,0,0
"851","No",33,1,0,0,0,1,0,0,0,1,0
"852","No",46,0,1,0,0,1,0,0,1,0,0
"853","No",36,1,0,0,0,1,0,0,1,0,0
"854","No",48,0,1,0,1,0,0,0,0,1,0
"855","No",42,1,0,0,0,1,0,0,1,0,0
"857","No",49,0,1,0,0,1,0,0,1,0,0
"860","No",51,1,0,0,1,0,0,0,0,1,0
"861","No",58,0,1,0,0,1,0,1,0,0,0
"862","No",48,1,0,0,0,1,0,0,0,1,0
"863","Yes",41,1,0,0,0,0,1,0,1,0,0
"864","No",49,1,0,0,0,1,0,1,0,0,0
"865","No",43,1,0,0,0,1,0,1,0,0,0
"866","No",32,0,1,0,0,0,1,0,1,0,0
"867","No",54,0,0,1,0,1,0,0,1,0,0
"868","No",33,0,1,0,1,0,0,1,0,0,0
"869","No",35,0,1,0,0,1,0,0,1,0,0
"871","No",57,0,1,0,0,1,0,0,1,0,0
"872","Yes",31,0,0,1,0,0,1,1,0,0,0
"873","No",33,0,1,0,0,0,1,0,1,0,0
"874","No",29,0,1,0,0,0,1,0,0,1,0
"876","No",37,1,0,0,0,1,0,0,1,0,0
"877","No",33,1,0,0,0,1,0,0,0,1,0
"878","No",30,1,0,0,0,0,1,0,0,1,0
"879","No",31,1,0,0,0,0,1,0,1,0,0
"880","No",28,0,1,0,0,0,1,0,0,1,0
"883","No",50,0,0,1,1,0,0,1,0,0,0
"885","No",48,1,0,0,0,1,0,1,0,0,0
"886","No",41,0,1,0,0,1,0,0,1,0,0
"887","Yes",60,0,1,0,0,1,0,1,0,0,0
"888","No",41,0,1,0,0,1,0,0,1,0,0
"889","No",43,0,1,0,0,1,0,1,0,0,0
"890","No",36,1,0,0,0,1,0,0,0,1,0
"891","No",40,0,1,0,0,1,0,1,0,0,0
"895","No",37,0,1,0,0,1,0,0,0,1,0
"896","No",31,0,1,0,0,1,0,0,1,0,0
"897","No",31,0,1,0,0,0,1,0,1,0,0
"898","No",31,0,1,0,0,1,0,0,1,0,0
"899","No",35,0,1,0,0,1,0,1,0,0,0
"900","No",51,0,1,0,1,0,0,0,0,0,1
"901","No",33,0,1,0,0,0,1,0,1,0,0
"903","No",58,0,1,0,0,0,1,0,1,0,0
"905","No",45,1,0,0,0,1,0,0,0,1,0
"906","Yes",28,0,1,0,0,0,1,0,1,0,0
"908","No",40,1,0,0,0,1,0,0,0,1,0
"909","No",30,0,1,0,0,0,1,0,1,0,0
"910","No",34,1,0,0,0,1,0,0,1,0,0
"911","No",40,0,1,0,0,1,0,0,1,0,0
"912","No",59,0,0,1,0,1,0,1,0,0,0
"913","No",43,0,1,0,0,0,1,0,0,1,0
"915","No",33,0,1,0,1,0,0,0,1,0,0
"916","No",33,1,0,0,0,1,0,0,1,0,0
"917","No",36,0,1,0,0,1,0,0,1,0,0
"918","No",32,1,0,0,0,0,1,0,1,0,0
"919","No",25,1,0,0,0,1,0,0,1,0,0
"920","No",25,0,1,0,0,1,0,0,1,0,0
"921","No",38,0,1,0,0,0,1,0,0,1,0
"922","No",34,1,0,0,0,1,0,0,0,1,0
"923","No",67,0,1,0,0,1,0,0,1,0,0
"924","No",32,0,1,0,0,1,0,0,1,0,0
"925","No",45,0,0,1,0,1,0,1,0,0,0
"926","No",33,0,1,0,0,1,0,1,0,0,0
"928","No",32,0,1,0,1,0,0,0,1,0,0
"929","No",54,0,0,1,1,0,0,0,0,1,0
"930","No",51,1,0,0,1,0,0,0,1,0,0
"931","No",42,0,1,0,0,1,0,1,0,0,0
"932","No",41,1,0,0,0,1,0,0,1,0,0
"933","No",39,1,0,0,1,0,0,0,0,1,0
"934","No",38,0,1,0,0,1,0,0,1,0,0
"935","No",39,1,0,0,0,1,0,0,1,0,0
"936","No",46,0,1,0,0,1,0,1,0,0,0
"937","No",50,1,0,0,1,0,0,0,0,1,0
"938","No",33,0,1,0,0,1,0,0,1,0,0
"939","No",37,0,1,0,0,1,0,0,1,0,0
"940","No",31,1,0,0,0,1,0,0,0,1,0
"941","Yes",34,0,1,0,1,0,0,0,0,0,1
"944","No",40,0,1,0,0,1,0,0,1,0,0
"945","Yes",40,0,1,0,0,1,0,0,1,0,0
"946","Yes",41,0,1,0,0,1,0,0,1,0,0
"947","No",52,1,0,0,0,1,0,0,0,1,0
"948","No",40,0,1,0,0,0,1,0,1,0,0
"949","No",48,0,1,0,0,0,1,0,0,0,1
"950","No",33,1,0,0,1,0,0,0,1,0,0
"951","No",44,0,1,0,1,0,0,0,1,0,0
"952","No",55,1,0,0,0,1,0,0,0,1,0
"953","No",51,1,0,0,0,1,0,0,1,0,0
"954","No",34,1,0,0,0,0,1,0,0,1,0
"955","No",58,0,0,1,1,0,0,0,0,0,1
"956","No",39,1,0,0,0,0,1,0,0,1,0
"958","No",55,1,0,0,1,0,0,0,0,0,1
"959","No",35,0,1,0,0,0,1,0,1,0,0
"960","No",37,0,1,0,0,0,1,0,0,1,0
"962","No",41,0,1,0,0,1,0,0,1,0,0
"963","No",52,1,0,0,0,1,0,0,1,0,0
"964","No",34,0,1,0,0,0,1,0,1,0,0
"965","No",53,1,0,0,1,0,0,1,0,0,0
"966","Yes",33,1,0,0,0,0,1,0,0,1,0
"967","No",47,1,0,0,0,1,0,0,1,0,0
"969","No",33,1,0,0,0,0,1,0,0,1,0
"970","No",55,0,1,0,0,1,0,1,0,0,0
"972","No",44,1,0,0,0,1,0,0,1,0,0
"973","No",25,0,1,0,0,0,1,0,1,0,0
"975","No",41,0,1,0,0,1,0,1,0,0,0
"976","Yes",34,0,1,0,0,0,1,0,1,0,0
"977","No",36,0,1,0,1,0,0,0,1,0,0
"978","No",44,1,0,0,0,1,0,0,0,1,0
"979","No",34,1,0,0,1,0,0,0,0,1,0
"980","No",56,0,1,0,1,0,0,1,0,0,0
"981","Yes",43,1,0,0,1,0,0,0,0,1,0
"982","No",28,0,1,0,0,0,1,0,1,0,0
"983","No",54,0,1,0,0,1,0,0,1,0,0
"984","No",37,0,1,0,1,0,0,0,1,0,0
"986","No",58,0,1,0,1,0,0,0,1,0,0
"987","No",56,1,0,0,1,0,0,0,0,1,0
"988","No",32,0,1,0,0,0,1,0,1,0,0
"989","No",42,1,0,0,0,0,1,0,0,1,0
"990","No",52,0,0,1,1,0,0,1,0,0,0
"991","No",46,1,0,0,0,1,0,0,0,1,0
"992","Yes",37,1,0,0,0,1,0,0,0,1,0
"993","No",39,0,1,0,0,1,0,1,0,0,0
"994","No",31,1,0,0,0,1,0,0,1,0,0
"995","No",59,0,0,1,0,1,0,1,0,0,0
"996","No",38,0,1,0,0,1,0,0,1,0,0
"997","No",58,1,0,0,0,1,0,0,1,0,0
"999","No",40,0,1,0,0,1,0,0,1,0,0
"1001","No",34,0,1,0,0,1,0,0,1,0,0
"1002","No",31,0,1,0,0,0,1,0,0,1,0
"1003","No",39,1,0,0,0,0,1,0,1,0,0
"1004","No",34,1,0,0,0,1,0,0,0,1,0
"1005","No",24,0,1,0,0,1,0,0,1,0,0
"1006","No",41,1,0,0,0,1,0,0,0,1,0
"1007","No",40,1,0,0,0,1,0,0,0,1,0
"1008","Yes",45,0,1,0,0,0,1,0,1,0,0
"1009","No",36,1,0,0,0,1,0,0,0,1,0
"1010","No",53,1,0,0,0,1,0,0,0,1,0
"1011","No",23,0,0,1,0,0,1,0,1,0,0
"1012","No",42,1,0,0,0,1,0,1,0,0,0
"1013","No",48,0,1,0,0,1,0,0,1,0,0
"1014","No",34,1,0,0,0,1,0,0,0,1,0
"1015","No",36,1,0,0,0,1,0,0,1,0,0
"1016","No",43,0,0,1,0,1,0,0,1,0,0
"1017","No",36,0,1,0,0,1,0,0,1,0,0
"1018","Yes",49,0,1,0,0,1,0,0,1,0,0
"1019","No",55,0,0,1,0,1,0,0,1,0,0
"1020","Yes",53,0,0,1,0,1,0,0,1,0,0
"1022","Yes",45,1,0,0,0,1,0,0,1,0,0
"1023","No",31,0,1,0,0,1,0,0,1,0,0
"1024","No",32,1,0,0,0,1,0,0,0,1,0
"1025","No",36,0,1,0,0,1,0,0,1,0,0
"1026","Yes",56,0,0,1,0,1,0,0,1,0,0
"1027","No",46,1,0,0,0,1,0,0,1,0,0
"1028","No",41,0,0,1,0,0,1,0,1,0,0
"1029","No",31,1,0,0,0,1,0,0,1,0,0
"1030","No",32,0,1,0,0,1,0,0,1,0,0
"1032","No",49,0,0,1,0,0,1,1,0,0,0
"1033","No",46,1,0,0,0,0,1,1,0,0,0
"1034","No",29,0,1,0,0,0,1,0,1,0,0
"1035","No",36,1,0,0,0,1,0,0,0,0,1
"1036","No",38,1,0,0,0,1,0,0,1,0,0
"1037","No",53,0,1,0,0,1,0,0,1,0,0
"1038","No",43,1,0,0,0,1,0,0,0,1,0
"1039","No",41,1,0,0,0,1,0,0,0,1,0
"1040","No",42,1,0,0,0,0,1,0,1,0,0
"1042","No",39,1,0,0,1,0,0,0,1,0,0
"1044","No",41,0,1,0,0,1,0,0,1,0,0
"1045","No",44,0,0,1,0,1,0,0,0,1,0
"1046","No",58,1,0,0,0,1,0,0,0,1,0
"1047","No",35,0,0,1,0,1,0,1,0,0,0
"1048","No",27,0,1,0,0,1,0,0,1,0,0
"1050","No",25,0,1,0,0,1,0,0,1,0,0
"1051","No",36,0,1,0,0,1,0,0,1,0,0
"1052","No",38,0,1,0,0,1,0,0,1,0,0
"1053","No",30,1,0,0,0,1,0,0,1,0,0
"1054","No",47,0,1,0,1,0,0,0,1,0,0
"1055","No",41,0,1,0,1,0,0,0,1,0,0
"1056","No",36,1,0,0,0,0,1,0,0,1,0
"1058","No",23,1,0,0,0,0,1,0,0,1,0
"1059","No",32,1,0,0,0,1,0,0,0,1,0
"1060","No",57,0,0,1,0,1,0,1,0,0,0
"1062","No",49,0,1,0,0,1,0,0,1,0,0
"1063","No",50,0,1,0,0,1,0,0,1,0,0
"1064","No",33,0,1,0,0,1,0,1,0,0,0
"1065","No",53,0,1,0,1,0,0,0,1,0,0
"1066","No",30,0,0,1,0,1,0,0,0,1,0
"1067","No",38,0,1,0,0,1,0,0,1,0,0
"1068","No",44,1,0,0,0,1,0,0,1,0,0
"1069","No",39,1,0,0,0,0,1,0,1,0,0
"1071","Yes",36,0,1,0,0,1,0,0,1,0,0
"1073","No",36,0,0,1,0,1,0,0,1,0,0
"1075","No",28,0,1,0,1,0,0,0,0,1,0
"1076","No",26,0,0,1,0,1,0,0,0,1,0
"1079","No",32,0,1,0,0,0,1,0,0,1,0
"1080","No",50,1,0,0,1,0,0,0,1,0,0
"1081","No",43,0,1,0,0,1,0,0,1,0,0
"1082","No",48,1,0,0,0,1,0,0,1,0,0
"1083","No",57,0,0,1,0,1,0,1,0,0,0
"1085","No",26,0,1,0,1,0,0,0,1,0,0
"1086","Yes",33,0,1,0,0,1,0,0,1,0,0
"1087","No",50,1,0,0,0,1,0,0,1,0,0
"1088","No",47,1,0,0,0,1,0,0,0,1,0
"1089","No",39,1,0,0,0,0,1,0,0,1,0
"1090","No",52,0,1,0,0,1,0,1,0,0,0
"1091","No",31,0,1,0,0,0,1,1,0,0,0
"1092","No",50,0,1,0,0,1,0,1,0,0,0
"1093","No",47,0,1,0,0,1,0,0,1,0,0
"1094","No",30,1,0,0,0,0,1,0,0,1,0
"1095","No",32,0,1,0,0,0,1,0,0,1,0
"1096","No",36,0,1,0,0,1,0,0,1,0,0
"1099","No",37,0,1,0,0,0,1,0,1,0,0
"1100","No",58,0,0,1,0,1,0,1,0,0,0
"1102","No",28,1,0,0,0,1,0,0,0,1,0
"1103","No",48,1,0,0,0,1,0,0,0,1,0
"1104","No",55,0,1,0,0,1,0,0,0,0,1
"1106","No",41,1,0,0,0,1,0,0,0,1,0
"1108","No",34,0,1,0,0,0,1,0,1,0,0
"1111","No",50,0,1,0,1,0,0,1,0,0,0
"1114","No",50,0,1,0,0,0,1,0,1,0,0
"1115","No",36,0,1,0,1,0,0,0,1,0,0
"1116","No",41,1,0,0,0,1,0,0,1,0,0
"1117","No",28,1,0,0,0,1,0,0,0,1,0
"1119","No",60,0,0,1,0,1,0,0,1,0,0
"1120","No",28,1,0,0,0,0,1,0,0,1,0
"1121","No",48,1,0,0,0,1,0,0,1,0,0
"1122","No",51,1,0,0,0,1,0,0,0,1,0
"1124","No",35,0,1,0,0,1,0,0,0,1,0
"1126","No",38,0,1,0,1,0,0,0,1,0,0
"1127","No",77,0,0,1,0,1,0,0,1,0,0
"1128","No",32,1,0,0,0,0,1,0,0,0,1
"1129","No",43,0,1,0,1,0,0,0,1,0,0
"1131","No",29,1,0,0,0,1,0,0,0,1,0
"1132","No",32,1,0,0,0,0,1,0,1,0,0
"1133","No",41,1,0,0,1,0,0,0,0,1,0
"1134","No",26,0,1,0,0,0,1,0,1,0,0
"1135","No",34,0,1,0,0,1,0,1,0,0,0
"1136","Yes",57,0,0,1,0,1,0,0,0,1,0
"1138","No",42,0,1,0,0,1,0,0,1,0,0
"1139","No",35,0,1,0,1,0,0,0,1,0,0
"1140","No",52,1,0,0,1,0,0,1,0,0,0
"1141","No",36,1,0,0,0,0,1,0,0,1,0
"1142","No",46,0,1,0,0,1,0,0,1,0,0
"1143","Yes",60,1,0,0,1,0,0,0,0,1,0
"1144","No",57,0,0,1,0,1,0,1,0,0,0
"1145","No",48,1,0,0,0,1,0,0,0,1,0
"1146","No",59,1,0,0,0,1,0,1,0,0,0
"1147","No",39,1,0,0,0,1,0,0,0,1,0
"1148","No",44,0,1,0,0,1,0,0,1,0,0
"1149","No",27,1,0,0,0,0,1,0,0,1,0
"1150","No",59,0,0,1,0,1,0,0,1,0,0
"1151","No",36,0,1,0,1,0,0,0,1,0,0
"1152","Yes",44,1,0,0,0,1,0,0,1,0,0
"1153","No",50,1,0,0,0,1,0,0,1,0,0
"1154","No",41,1,0,0,1,0,0,0,0,1,0
"1156","No",32,0,1,0,0,0,1,0,0,1,0
"1157","No",38,0,1,0,0,1,0,0,1,0,0
"1158","No",55,0,1,0,0,1,0,0,0,0,1
"1159","No",38,1,0,0,0,0,1,0,0,1,0
"1161","No",38,0,1,0,1,0,0,0,1,0,0
"1162","No",29,0,0,1,0,0,1,0,0,1,0
"1163","No",55,0,1,0,0,1,0,0,1,0,0
"1165","No",40,1,0,0,0,0,1,0,0,1,0
"1166","No",34,0,1,0,0,1,0,0,1,0,0
"1169","Yes",33,1,0,0,0,1,0,0,0,1,0
"1170","No",37,1,0,0,0,1,0,0,1,0,0
"1171","No",58,1,0,0,0,1,0,0,0,1,0
"1172","No",36,1,0,0,0,0,1,0,1,0,0
"1173","No",42,0,1,0,0,1,0,0,1,0,0
"1175","No",35,1,0,0,0,1,0,0,0,1,0
"1176","No",60,0,0,1,0,1,0,1,0,0,0
"1178","Yes",28,1,0,0,0,0,1,0,0,1,0
"1179","No",27,0,1,0,1,0,0,0,1,0,0
"1180","Yes",37,1,0,0,0,1,0,0,0,1,0
"1181","Yes",31,0,1,0,0,1,0,0,0,1,0
"1183","No",38,1,0,0,0,1,0,0,0,1,0
"1184","No",32,1,0,0,0,1,0,0,1,0,0
"1185","No",37,0,1,0,0,1,0,0,1,0,0
"1186","No",33,1,0,0,0,1,0,0,1,0,0
"1188","No",27,0,1,0,0,1,0,0,1,0,0
"1189","No",38,0,1,0,0,1,0,1,0,0,0
"1190","No",34,0,1,0,0,0,1,0,1,0,0
"1191","Yes",54,0,0,1,1,0,0,0,0,1,0
"1192","No",30,0,1,0,0,1,0,0,1,0,0
"1193","No",35,1,0,0,0,0,1,0,1,0,0
"1197","No",72,0,1,0,0,1,0,1,0,0,0
"1198","No",64,1,0,0,0,1,0,0,0,1,0
"1199","No",53,0,1,0,1,0,0,0,1,0,0
"1200","No",35,1,0,0,0,0,1,0,0,1,0
"1201","No",58,1,0,0,0,1,0,0,1,0,0
"1202","No",40,0,1,0,0,1,0,0,1,0,0
"1203","No",41,0,1,0,1,0,0,0,1,0,0
"1204","No",48,0,0,1,0,1,0,1,0,0,0
"1205","No",44,1,0,0,0,1,0,0,0,1,0
"1207","Yes",61,1,0,0,0,1,0,0,0,1,0
"1208","No",36,1,0,0,0,1,0,1,0,0,0
"1209","No",28,1,0,0,0,1,0,0,0,1,0
"1212","No",66,1,0,0,0,0,1,0,1,0,0
"1214","No",49,1,0,0,0,1,0,0,1,0,0
"1215","No",40,0,1,0,0,1,0,0,1,0,0
"1216","No",23,0,1,0,0,0,1,0,1,0,0
"1218","No",44,0,1,0,0,1,0,1,0,0,0
"1219","No",54,0,0,1,0,1,0,0,0,0,1
"1220","No",47,0,1,0,0,1,0,1,0,0,0
"1221","No",33,1,0,0,0,1,0,0,0,1,0
"1222","No",30,1,0,0,0,1,0,0,1,0,0
"1223","No",27,1,0,0,0,0,1,0,1,0,0
"1225","No",27,0,1,0,0,0,1,0,1,0,0
"1228","No",30,0,1,0,0,0,1,0,1,0,0
"1229","No",33,1,0,0,0,1,0,0,1,0,0
"1230","No",27,0,1,0,0,0,1,1,0,0,0
"1231","Yes",75,0,0,1,1,0,0,0,1,0,0
"1232","No",37,0,1,0,1,0,0,0,1,0,0
"1233","No",36,0,1,0,0,0,1,0,1,0,0
"1234","No",37,0,1,0,0,1,0,0,1,0,0
"1235","No",35,1,0,0,0,1,0,0,0,1,0
"1236","No",32,0,1,0,0,1,0,0,1,0,0
"1237","No",32,1,0,0,0,0,1,0,1,0,0
"1238","No",35,1,0,0,0,1,0,1,0,0,0
"1239","No",31,0,1,0,0,1,0,1,0,0,0
"1240","No",28,0,1,0,0,0,1,0,1,0,0
"1242","No",22,0,0,1,0,0,1,0,0,0,1
"1244","No",69,0,0,1,0,1,0,1,0,0,0
"1245","No",37,1,0,0,0,0,1,0,0,1,0
"1246","No",45,1,0,0,0,0,1,0,1,0,0
"1247","No",47,1,0,0,0,1,0,0,0,1,0
"1248","No",52,1,0,0,0,1,0,0,0,1,0
"1249","No",33,0,1,0,0,1,0,0,1,0,0
"1250","Yes",60,0,1,0,0,1,0,1,0,0,0
"1251","No",33,1,0,0,1,0,0,0,1,0,0
"1252","No",44,1,0,0,0,1,0,0,1,0,0
"1253","No",38,1,0,0,0,1,0,0,1,0,0
"1254","No",54,1,0,0,0,1,0,0,1,0,0
"1255","No",32,0,0,1,1,0,0,1,0,0,0
"1256","No",33,0,1,0,0,1,0,0,1,0,0
"1257","No",55,0,1,0,1,0,0,0,1,0,0
