"","y","age","jobtype","marital","education","default","balance","housing","loan"
"1080","No",50,"White Collar","Divorced","Secondary","No",202,"No","Yes"
"1081","No",43,"Blue Collar","Married","Secondary","No",667,"Yes","No"
"1082","No",48,"White Collar","Married","Secondary","No",112,"No","No"
"1083","No",57,"Other/Unknown","Married","Primary","No",50,"No","No"
"1085","No",26,"Blue Collar","Divorced","Secondary","No",74,"Yes","No"
"1086","Yes",33,"Blue Collar","Married","Secondary","No",661,"Yes","No"
"1087","No",50,"White Collar","Married","Secondary","No",3025,"No","Yes"
"1088","No",47,"White Collar","Married","Tertiary","No",751,"No","No"
"1089","No",39,"White Collar","Single","Tertiary","No",416,"No","No"
"1090","No",52,"Blue Collar","Married","Primary","No",14,"No","Yes"
"1091","No",31,"Blue Collar","Single","Primary","No",-502,"Yes","No"
"1092","No",50,"Blue Collar","Married","Primary","No",0,"No","No"
"1093","No",47,"Blue Collar","Married","Secondary","No",599,"Yes","No"
"1094","No",30,"White Collar","Single","Tertiary","No",-218,"Yes","No"
"1095","No",32,"Blue Collar","Single","Tertiary","No",1012,"No","No"
"1096","No",36,"Blue Collar","Married","Secondary","No",300,"No","No"
"1099","No",37,"Blue Collar","Single","Secondary","No",0,"No","No"
"1100","No",58,"Other/Unknown","Married","Primary","No",5278,"Yes","No"
"1102","No",28,"White Collar","Married","Tertiary","No",1480,"Yes","No"
"1103","No",48,"White Collar","Married","Tertiary","No",7289,"Yes","No"
"1104","No",55,"Blue Collar","Married","Unknown","No",1665,"No","No"
"1106","No",41,"White Collar","Married","Tertiary","No",2885,"No","No"
"1108","No",34,"Blue Collar","Single","Secondary","No",1239,"Yes","No"
"1111","No",50,"Blue Collar","Divorced","Primary","No",-10,"No","Yes"
"1114","No",50,"Blue Collar","Single","Secondary","No",3897,"No","No"
"1115","No",36,"Blue Collar","Divorced","Secondary","No",487,"No","Yes"
"1116","No",41,"White Collar","Married","Secondary","No",5110,"Yes","No"
"1117","No",28,"White Collar","Married","Tertiary","No",318,"Yes","No"
"1119","No",60,"Other/Unknown","Married","Secondary","No",4820,"No","No"
"1120","No",28,"White Collar","Single","Tertiary","No",4937,"Yes","No"
"1121","No",48,"White Collar","Married","Secondary","No",725,"No","Yes"
"1122","No",51,"White Collar","Married","Tertiary","No",5403,"No","No"
"1124","No",35,"Blue Collar","Married","Tertiary","No",188,"No","No"
"1126","No",38,"Blue Collar","Divorced","Secondary","No",2998,"Yes","No"
"1127","No",77,"Other/Unknown","Married","Secondary","No",610,"No","No"
"1128","No",32,"White Collar","Single","Unknown","No",787,"No","No"
"1129","No",43,"Blue Collar","Divorced","Secondary","No",167,"No","No"
"1131","No",29,"White Collar","Married","Tertiary","No",877,"No","No"
"1132","No",32,"White Collar","Single","Secondary","No",2817,"Yes","No"
"1133","No",41,"White Collar","Divorced","Tertiary","No",4567,"Yes","Yes"
"1134","No",26,"Blue Collar","Single","Secondary","No",127,"Yes","Yes"
"1135","No",34,"Blue Collar","Married","Primary","No",176,"No","No"
"1136","Yes",57,"Other/Unknown","Married","Tertiary","No",0,"Yes","Yes"
"1138","No",42,"Blue Collar","Married","Secondary","No",3052,"Yes","No"
"1139","No",35,"Blue Collar","Divorced","Secondary","No",56,"No","No"
"1140","No",52,"White Collar","Divorced","Primary","No",278,"Yes","No"
"1141","No",36,"White Collar","Single","Tertiary","No",3875,"Yes","No"
"1142","No",46,"Blue Collar","Married","Secondary","No",-337,"Yes","No"
"1143","Yes",60,"White Collar","Divorced","Tertiary","No",366,"No","No"
"1144","No",57,"Other/Unknown","Married","Primary","No",501,"Yes","Yes"
"1145","No",48,"White Collar","Married","Tertiary","No",998,"Yes","No"
"1146","No",59,"White Collar","Married","Primary","No",0,"Yes","No"
"1147","No",39,"White Collar","Married","Tertiary","No",246,"No","No"
"1148","No",44,"Blue Collar","Married","Secondary","No",-182,"Yes","Yes"
"1149","No",27,"White Collar","Single","Tertiary","No",446,"No","No"
"1150","No",59,"Other/Unknown","Married","Secondary","No",1173,"No","No"
"1151","No",36,"Blue Collar","Divorced","Secondary","No",5957,"Yes","No"
"1152","Yes",44,"White Collar","Married","Secondary","No",205,"No","No"
"1153","No",50,"White Collar","Married","Secondary","No",0,"No","No"
"1154","No",41,"White Collar","Divorced","Tertiary","No",369,"Yes","No"
"1156","No",32,"Blue Collar","Single","Tertiary","No",259,"No","No"
"1157","No",38,"Blue Collar","Married","Secondary","No",284,"Yes","Yes"
"1158","No",55,"Blue Collar","Married","Unknown","No",23,"No","No"
"1159","No",38,"White Collar","Single","Tertiary","No",1373,"No","No"
"1161","No",38,"Blue Collar","Divorced","Secondary","No",157,"No","No"
"1162","No",29,"Other/Unknown","Single","Tertiary","No",991,"No","No"
"1163","No",55,"Blue Collar","Married","Secondary","No",186,"Yes","Yes"
"1165","No",40,"White Collar","Single","Tertiary","No",2893,"No","No"
"1166","No",34,"Blue Collar","Married","Secondary","No",1897,"Yes","Yes"
"1169","Yes",33,"White Collar","Married","Tertiary","No",273,"Yes","No"
"1170","No",37,"White Collar","Married","Secondary","No",1193,"No","No"
"1171","No",58,"White Collar","Married","Tertiary","No",2729,"No","No"
"1172","No",36,"White Collar","Single","Secondary","No",0,"No","No"
"1173","No",42,"Blue Collar","Married","Secondary","No",230,"Yes","No"
"1175","No",35,"White Collar","Married","Tertiary","No",317,"Yes","No"
"1176","No",60,"Other/Unknown","Married","Primary","No",517,"No","No"
"1178","Yes",28,"White Collar","Single","Tertiary","No",4579,"No","No"
"1179","No",27,"Blue Collar","Divorced","Secondary","No",1,"Yes","No"
"1180","Yes",37,"White Collar","Married","Tertiary","No",5106,"No","No"
"1181","Yes",31,"Blue Collar","Married","Tertiary","No",636,"Yes","No"
"1183","No",38,"White Collar","Married","Tertiary","No",126,"Yes","No"
"1184","No",32,"White Collar","Married","Secondary","No",-33,"Yes","No"
"1185","No",37,"Blue Collar","Married","Secondary","No",430,"No","No"
"1186","No",33,"White Collar","Married","Secondary","No",-6,"Yes","No"
"1188","No",27,"Blue Collar","Married","Secondary","No",130,"Yes","No"
"1189","No",38,"Blue Collar","Married","Primary","No",2569,"No","No"
"1190","No",34,"Blue Collar","Single","Secondary","No",201,"No","No"
"1191","Yes",54,"Other/Unknown","Divorced","Tertiary","No",0,"No","No"
"1192","No",30,"Blue Collar","Married","Secondary","No",6,"Yes","No"
"1193","No",35,"White Collar","Single","Secondary","No",475,"No","Yes"
"1197","No",72,"Blue Collar","Married","Primary","No",4415,"No","No"
"1198","No",64,"White Collar","Married","Tertiary","No",679,"No","No"
"1199","No",53,"Blue Collar","Divorced","Secondary","No",320,"No","No"
"1200","No",35,"White Collar","Single","Tertiary","No",2988,"Yes","No"
"1201","No",58,"White Collar","Married","Secondary","No",1407,"Yes","No"
"1202","No",40,"Blue Collar","Married","Secondary","No",1270,"No","No"
"1203","No",41,"Blue Collar","Divorced","Secondary","No",654,"Yes","No"
"1204","No",48,"Other/Unknown","Married","Primary","No",5173,"Yes","No"
"1205","No",44,"White Collar","Married","Tertiary","No",3463,"Yes","Yes"
"1207","Yes",61,"White Collar","Married","Tertiary","No",6016,"No","No"
"1208","No",36,"White Collar","Married","Primary","No",177,"Yes","No"
"1209","No",28,"White Collar","Married","Tertiary","No",3694,"No","Yes"
"1212","No",66,"White Collar","Single","Secondary","No",10177,"No","No"
"1214","No",49,"White Collar","Married","Secondary","No",2576,"Yes","No"
"1215","No",40,"Blue Collar","Married","Secondary","No",0,"No","No"
"1216","No",23,"Blue Collar","Single","Secondary","No",598,"No","No"
"1218","No",44,"Blue Collar","Married","Primary","No",271,"Yes","Yes"
"1219","No",54,"Other/Unknown","Married","Unknown","No",2508,"No","No"
"1220","No",47,"Blue Collar","Married","Primary","No",320,"No","No"
"1221","No",33,"White Collar","Married","Tertiary","No",640,"No","No"
"1222","No",30,"White Collar","Married","Secondary","No",1772,"Yes","No"
"1223","No",27,"White Collar","Single","Secondary","No",15,"No","Yes"
"1225","No",27,"Blue Collar","Single","Secondary","No",201,"Yes","No"
"1228","No",30,"Blue Collar","Single","Secondary","No",75,"Yes","No"
"1229","No",33,"White Collar","Married","Secondary","No",4902,"Yes","No"
"1230","No",27,"Blue Collar","Single","Primary","No",-79,"Yes","No"
"1231","Yes",75,"Other/Unknown","Divorced","Secondary","No",1341,"No","No"
"1232","No",37,"Blue Collar","Divorced","Secondary","No",490,"Yes","No"
"1233","No",36,"Blue Collar","Single","Secondary","No",1521,"Yes","No"
"1234","No",37,"Blue Collar","Married","Secondary","No",131,"Yes","No"
"1235","No",35,"White Collar","Married","Tertiary","No",8,"Yes","No"
"1236","No",32,"Blue Collar","Married","Secondary","No",-632,"Yes","Yes"
"1237","No",32,"White Collar","Single","Secondary","No",116,"No","Yes"
"1238","No",35,"White Collar","Married","Primary","No",189,"Yes","No"
"1239","No",31,"Blue Collar","Married","Primary","No",2,"Yes","Yes"
"1240","No",28,"Blue Collar","Single","Secondary","No",4229,"Yes","Yes"
"1242","No",22,"Other/Unknown","Single","Unknown","No",549,"No","No"
"1244","No",69,"Other/Unknown","Married","Primary","No",579,"No","No"
"1245","No",37,"White Collar","Single","Tertiary","No",1467,"Yes","Yes"
"1246","No",45,"White Collar","Single","Secondary","No",0,"Yes","No"
"1247","No",47,"White Collar","Married","Tertiary","No",109,"Yes","No"
"1248","No",52,"White Collar","Married","Tertiary","No",-11,"Yes","No"
"1249","No",33,"Blue Collar","Married","Secondary","No",90,"Yes","No"
"1250","Yes",60,"Blue Collar","Married","Primary","No",493,"No","No"
"1251","No",33,"White Collar","Divorced","Secondary","No",1897,"Yes","Yes"
"1252","No",44,"White Collar","Married","Secondary","No",2403,"Yes","No"
"1253","No",38,"White Collar","Married","Secondary","No",868,"No","No"
"1254","No",54,"White Collar","Married","Secondary","No",653,"Yes","No"
"1255","No",32,"Other/Unknown","Divorced","Primary","No",0,"No","No"
"1256","No",33,"Blue Collar","Married","Secondary","No",0,"Yes","Yes"
"1257","No",55,"Blue Collar","Divorced","Secondary","No",218,"Yes","No"
"1258","No",51,"Blue Collar","Married","Primary","No",5050,"No","Yes"
"1259","No",48,"Blue Collar","Married","Secondary","No",741,"Yes","No"
"1260","No",37,"Blue Collar","Single","Secondary","No",1050,"Yes","No"
"1261","No",33,"Blue Collar","Single","Secondary","No",-56,"No","Yes"
"1262","No",30,"Blue Collar","Married","Primary","No",1,"Yes","Yes"
"1264","No",49,"Blue Collar","Married","Secondary","No",4667,"Yes","No"
"1265","No",54,"Other/Unknown","Married","Primary","No",541,"Yes","No"
"1266","No",31,"Other/Unknown","Married","Tertiary","No",7744,"No","No"
"1267","Yes",54,"Other/Unknown","Married","Unknown","No",895,"No","No"
"1268","No",36,"Other/Unknown","Married","Secondary","No",-129,"Yes","No"
"1269","No",30,"White Collar","Married","Secondary","No",0,"No","No"
"1270","Yes",27,"Blue Collar","Single","Secondary","No",158,"No","No"
"1271","No",30,"White Collar","Married","Secondary","No",122,"Yes","No"
"1272","No",30,"Blue Collar","Married","Secondary","No",673,"Yes","No"
"1273","No",35,"Blue Collar","Divorced","Secondary","No",0,"No","No"
"1274","No",33,"Blue Collar","Divorced","Secondary","No",411,"Yes","No"
"1275","No",43,"Blue Collar","Divorced","Primary","No",-97,"Yes","Yes"
"1278","Yes",46,"White Collar","Divorced","Secondary","No",2232,"No","No"
"1279","No",54,"Blue Collar","Married","Secondary","No",-932,"Yes","No"
"1281","No",30,"Blue Collar","Single","Tertiary","No",236,"Yes","No"
"1282","No",40,"White Collar","Married","Primary","No",0,"Yes","No"
"1283","No",30,"Blue Collar","Married","Primary","No",2581,"No","No"
"1284","No",27,"White Collar","Married","Secondary","No",639,"No","Yes"
"1285","No",41,"Blue Collar","Married","Primary","No",849,"Yes","No"
"1286","No",54,"Blue Collar","Married","Secondary","No",386,"Yes","No"
"1287","No",32,"White Collar","Single","Tertiary","No",1218,"Yes","No"
"1288","Yes",31,"White Collar","Married","Tertiary","No",2603,"Yes","No"
"1289","No",42,"Blue Collar","Married","Secondary","No",-921,"Yes","No"
"1290","No",48,"White Collar","Married","Primary","No",607,"No","No"
"1291","No",34,"Blue Collar","Married","Primary","No",79,"Yes","No"
"1292","No",55,"Blue Collar","Divorced","Secondary","No",61,"Yes","Yes"
"1293","No",49,"Blue Collar","Married","Secondary","No",1091,"No","No"
"1294","No",46,"White Collar","Divorced","Tertiary","No",743,"No","No"
"1295","No",47,"White Collar","Married","Unknown","No",209,"Yes","No"
"1296","No",24,"White Collar","Single","Tertiary","No",172,"No","No"
"1297","No",58,"White Collar","Married","Secondary","No",2,"No","No"
"1298","Yes",32,"White Collar","Single","Tertiary","No",41,"No","No"
"1299","No",25,"Other/Unknown","Single","Secondary","No",1116,"Yes","No"
"1300","No",49,"Blue Collar","Married","Secondary","No",-55,"No","No"
"1301","Yes",59,"Other/Unknown","Divorced","Secondary","No",5845,"No","No"
"1302","No",30,"White Collar","Single","Tertiary","No",329,"Yes","No"
"1303","No",46,"Blue Collar","Married","Secondary","No",494,"Yes","No"
"1305","No",37,"White Collar","Married","Tertiary","No",2685,"No","No"
"1306","No",44,"Blue Collar","Married","Primary","No",-14,"Yes","Yes"
"1307","No",49,"Blue Collar","Married","Secondary","No",5673,"No","Yes"
"1308","No",41,"Blue Collar","Married","Secondary","No",1459,"No","No"
"1309","No",48,"Blue Collar","Married","Tertiary","No",0,"No","No"
"1311","No",37,"Other/Unknown","Married","Unknown","No",0,"No","No"
"1314","No",32,"White Collar","Single","Tertiary","No",151,"Yes","No"
"1315","No",48,"Blue Collar","Married","Primary","Yes",-583,"Yes","No"
"1316","No",49,"Blue Collar","Married","Tertiary","No",1784,"No","No"
"1317","No",30,"White Collar","Married","Tertiary","No",3134,"Yes","No"
"1318","No",27,"White Collar","Single","Secondary","No",49,"Yes","No"
"1319","No",34,"Blue Collar","Married","Secondary","No",-346,"No","No"
"1320","Yes",49,"White Collar","Married","Secondary","No",1623,"Yes","No"
"1322","No",40,"Blue Collar","Married","Secondary","No",17,"No","No"
"1323","No",38,"Blue Collar","Married","Secondary","No",2008,"Yes","No"
"1326","No",28,"White Collar","Single","Tertiary","No",1027,"Yes","No"
"1327","No",51,"Blue Collar","Married","Unknown","No",5801,"Yes","No"
"1329","No",26,"White Collar","Single","Tertiary","No",205,"No","No"
"1330","No",34,"White Collar","Single","Secondary","No",852,"No","No"
"1331","No",27,"Blue Collar","Married","Secondary","Yes",-584,"Yes","No"
"1332","No",42,"White Collar","Married","Secondary","No",97,"No","No"
"1333","Yes",45,"White Collar","Married","Secondary","No",204,"Yes","No"
"1334","No",31,"Blue Collar","Single","Secondary","No",628,"Yes","No"
"1335","Yes",32,"White Collar","Single","Tertiary","No",311,"No","No"
"1336","No",39,"Blue Collar","Married","Primary","No",1564,"No","No"
"1337","No",26,"Blue Collar","Single","Secondary","No",856,"Yes","Yes"
"1339","No",52,"Blue Collar","Married","Secondary","No",-888,"No","No"
"1340","No",40,"Blue Collar","Single","Tertiary","No",226,"No","No"
"1341","No",48,"Blue Collar","Married","Secondary","No",127,"No","Yes"
"1342","No",31,"Blue Collar","Married","Secondary","No",413,"Yes","No"
"1345","Yes",28,"White Collar","Single","Secondary","No",171,"No","No"
"1348","No",29,"White Collar","Married","Tertiary","No",751,"Yes","No"
"1349","No",36,"White Collar","Married","Tertiary","No",61,"No","Yes"
"1351","No",55,"Blue Collar","Divorced","Primary","No",2923,"Yes","No"
"1352","No",43,"White Collar","Divorced","Tertiary","No",99,"No","No"
"1353","No",23,"Other/Unknown","Single","Secondary","No",1021,"No","No"
"1354","No",44,"Blue Collar","Married","Tertiary","No",1146,"No","No"
"1355","No",58,"Blue Collar","Married","Primary","No",781,"Yes","No"
"1357","No",30,"White Collar","Single","Tertiary","No",604,"No","Yes"
"1358","No",29,"White Collar","Single","Secondary","No",-194,"Yes","No"
"1359","No",41,"Blue Collar","Married","Secondary","No",0,"No","No"
"1360","No",35,"Other/Unknown","Married","Primary","No",0,"Yes","No"
"1361","No",31,"Blue Collar","Single","Secondary","No",1014,"Yes","No"
"1362","No",27,"White Collar","Single","Tertiary","No",73,"No","No"
"1363","No",47,"Blue Collar","Married","Secondary","No",2597,"Yes","No"
"1364","No",53,"White Collar","Married","Tertiary","No",2627,"Yes","Yes"
"1365","No",34,"White Collar","Married","Tertiary","No",1906,"Yes","No"
"1366","No",34,"Blue Collar","Married","Primary","No",-319,"Yes","Yes"
"1367","No",36,"White Collar","Married","Tertiary","No",-296,"Yes","No"
"1368","No",40,"Blue Collar","Married","Secondary","No",169,"Yes","No"
"1369","No",37,"White Collar","Single","Tertiary","No",556,"No","No"
"1370","No",65,"Other/Unknown","Divorced","Unknown","No",300,"No","No"
"1371","No",53,"Blue Collar","Divorced","Secondary","No",751,"Yes","No"
"1372","No",28,"Blue Collar","Single","Secondary","No",126,"No","No"
"1373","No",33,"Blue Collar","Divorced","Tertiary","No",-386,"Yes","No"
"1374","No",56,"Blue Collar","Married","Primary","No",379,"No","No"
"1376","No",39,"Blue Collar","Married","Secondary","No",9121,"No","No"
"1377","No",28,"White Collar","Single","Tertiary","No",1466,"Yes","No"
"1378","No",36,"Blue Collar","Married","Primary","No",0,"Yes","No"
"1379","No",41,"Blue Collar","Married","Primary","No",951,"Yes","No"
"1382","No",59,"Blue Collar","Married","Secondary","No",204,"No","No"
"1384","No",34,"White Collar","Married","Tertiary","No",4170,"Yes","No"
"1385","No",40,"Blue Collar","Married","Primary","No",-335,"Yes","No"
"1386","No",42,"White Collar","Married","Secondary","No",3165,"Yes","No"
"1389","No",51,"Blue Collar","Divorced","Secondary","No",518,"Yes","No"
"1390","No",50,"White Collar","Married","Tertiary","No",85,"No","Yes"
"1391","No",37,"Blue Collar","Married","Unknown","No",603,"Yes","No"
"1393","No",52,"Blue Collar","Married","Secondary","No",-98,"Yes","No"
"1394","No",55,"Other/Unknown","Married","Primary","No",4424,"No","No"
"1395","No",26,"Blue Collar","Single","Secondary","No",2610,"Yes","Yes"
"1396","Yes",38,"Blue Collar","Married","Tertiary","No",3234,"No","No"
"1397","No",32,"Blue Collar","Married","Secondary","No",687,"Yes","No"
"1398","No",31,"Blue Collar","Married","Secondary","No",631,"Yes","No"
"1400","No",33,"Blue Collar","Single","Tertiary","No",316,"No","No"
"1401","No",35,"Blue Collar","Married","Secondary","No",2,"No","No"
"1402","No",44,"White Collar","Married","Unknown","No",415,"Yes","No"
"1403","No",48,"White Collar","Divorced","Tertiary","No",507,"Yes","No"
"1404","No",29,"Blue Collar","Married","Secondary","No",912,"Yes","No"
"1405","No",50,"White Collar","Married","Tertiary","No",0,"No","No"
"1407","No",44,"White Collar","Single","Secondary","No",2524,"No","No"
"1408","No",36,"Other/Unknown","Single","Tertiary","No",9019,"Yes","No"
"1409","No",49,"Blue Collar","Divorced","Unknown","No",39,"Yes","No"
"1410","No",31,"Blue Collar","Married","Secondary","No",0,"Yes","No"
"1411","No",49,"Blue Collar","Divorced","Secondary","No",265,"Yes","No"
"1413","No",57,"White Collar","Divorced","Unknown","No",4012,"No","No"
"1414","No",42,"Blue Collar","Married","Primary","No",1520,"Yes","No"
"1415","No",36,"Blue Collar","Divorced","Secondary","No",-140,"Yes","No"
"1416","No",75,"Other/Unknown","Divorced","Primary","No",852,"No","No"
"1417","No",38,"Blue Collar","Single","Secondary","No",578,"Yes","No"
"1418","No",40,"Blue Collar","Married","Primary","Yes",0,"Yes","No"
"1419","Yes",38,"Blue Collar","Single","Secondary","No",2253,"Yes","No"
"1420","No",34,"White Collar","Single","Tertiary","No",1171,"Yes","No"
"1421","No",29,"Blue Collar","Single","Tertiary","No",452,"Yes","No"
"1423","No",79,"Other/Unknown","Married","Secondary","No",4738,"No","No"
"1424","No",51,"White Collar","Divorced","Secondary","No",467,"Yes","No"
"1428","No",49,"White Collar","Married","Secondary","No",358,"Yes","Yes"
"1429","No",42,"Blue Collar","Married","Secondary","No",292,"Yes","No"
"1430","No",43,"Blue Collar","Married","Primary","No",7343,"Yes","No"
"1431","No",34,"Blue Collar","Married","Secondary","No",-563,"Yes","No"
"1432","Yes",59,"Other/Unknown","Single","Secondary","No",351,"Yes","No"
"1433","No",35,"Other/Unknown","Married","Primary","No",365,"No","No"
"1434","No",33,"Blue Collar","Single","Secondary","No",13494,"Yes","No"
"1435","No",34,"White Collar","Single","Secondary","No",846,"Yes","No"
"1436","Yes",64,"Other/Unknown","Married","Secondary","No",1574,"No","No"
"1437","No",34,"White Collar","Married","Tertiary","No",-28,"Yes","No"
"1439","No",57,"Other/Unknown","Married","Primary","No",2927,"No","Yes"
"1440","No",30,"Blue Collar","Married","Secondary","No",501,"Yes","Yes"
"1441","Yes",56,"Other/Unknown","Divorced","Primary","Yes",1238,"No","No"
"1442","No",49,"Other/Unknown","Married","Unknown","No",301,"No","No"
"1444","No",39,"Blue Collar","Single","Secondary","No",102,"Yes","No"
"1446","No",32,"White Collar","Married","Secondary","No",413,"Yes","No"
"1447","Yes",32,"Blue Collar","Single","Tertiary","No",4665,"Yes","No"
"1448","No",45,"White Collar","Married","Secondary","No",638,"Yes","No"
"1449","No",32,"Blue Collar","Married","Secondary","No",101,"Yes","No"
"1450","Yes",31,"White Collar","Married","Tertiary","No",1224,"Yes","Yes"
"1451","No",49,"White Collar","Married","Secondary","No",1103,"No","No"
"1452","No",29,"Blue Collar","Married","Secondary","No",3748,"No","No"
"1453","No",55,"Blue Collar","Married","Secondary","No",955,"Yes","No"
"1454","No",30,"White Collar","Married","Secondary","No",518,"Yes","No"
"1455","Yes",45,"Blue Collar","Single","Primary","No",1893,"Yes","No"
"1456","No",39,"Blue Collar","Married","Tertiary","No",14,"No","No"
"1457","No",36,"White Collar","Married","Secondary","No",-423,"Yes","Yes"
"1459","Yes",36,"White Collar","Married","Tertiary","No",2987,"Yes","No"
"1460","No",31,"Blue Collar","Single","Secondary","No",433,"No","No"
"1461","No",36,"Blue Collar","Married","Unknown","No",756,"No","No"
"1462","No",38,"Blue Collar","Single","Tertiary","No",0,"Yes","No"
"1463","No",33,"Other/Unknown","Married","Secondary","No",2727,"No","No"
"1464","No",40,"Blue Collar","Married","Secondary","No",93,"Yes","No"
"1465","Yes",31,"Blue Collar","Married","Secondary","No",1766,"No","Yes"
"1466","No",39,"Blue Collar","Married","Secondary","No",124,"Yes","No"
"1467","No",33,"White Collar","Married","Tertiary","No",69,"No","Yes"
"1468","Yes",53,"Blue Collar","Divorced","Secondary","No",0,"No","No"
"1471","No",55,"Blue Collar","Married","Primary","No",4103,"No","No"
"1473","No",48,"Blue Collar","Married","Secondary","No",116,"Yes","No"
"1474","No",53,"Blue Collar","Married","Secondary","No",70,"Yes","No"
"1475","No",44,"White Collar","Divorced","Secondary","No",432,"No","No"
"1476","No",57,"White Collar","Married","Tertiary","No",1172,"No","No"
"1477","No",29,"Blue Collar","Single","Secondary","No",9,"Yes","No"
"1478","No",31,"Blue Collar","Married","Secondary","No",428,"Yes","No"
"1480","No",31,"Blue Collar","Married","Primary","No",620,"No","No"
"1481","No",35,"White Collar","Married","Tertiary","No",8647,"No","No"
"1482","No",40,"White Collar","Single","Secondary","No",192,"Yes","No"
"1484","No",43,"Blue Collar","Single","Tertiary","No",27733,"Yes","No"
"1485","No",44,"White Collar","Married","Primary","No",276,"Yes","Yes"
"1487","No",40,"Blue Collar","Married","Secondary","No",782,"Yes","No"
"1488","No",33,"White Collar","Married","Primary","No",82,"Yes","No"
"1489","No",46,"White Collar","Married","Tertiary","No",1008,"No","No"
"1490","No",27,"Other/Unknown","Single","Tertiary","No",6421,"No","No"
"1491","No",26,"White Collar","Single","Secondary","No",443,"No","No"
"1492","No",41,"Blue Collar","Married","Secondary","No",351,"Yes","No"
"1493","No",34,"Blue Collar","Married","Tertiary","No",5060,"Yes","No"
"1494","No",39,"Blue Collar","Single","Tertiary","No",-41,"No","Yes"
"1495","No",27,"Blue Collar","Single","Secondary","No",-124,"No","No"
"1496","No",31,"Blue Collar","Married","Secondary","No",79,"Yes","Yes"
"1497","No",44,"Other/Unknown","Single","Secondary","No",3945,"No","No"
"1498","No",55,"Other/Unknown","Married","Tertiary","No",197,"No","Yes"
"1499","No",51,"Blue Collar","Divorced","Primary","No",837,"No","No"
"1500","No",50,"White Collar","Married","Tertiary","No",-94,"No","Yes"
"1501","No",30,"Blue Collar","Married","Secondary","No",1743,"Yes","No"
"1502","Yes",46,"Blue Collar","Married","Secondary","No",57,"No","No"
"1503","No",49,"White Collar","Married","Secondary","No",635,"No","No"
"1504","No",56,"Other/Unknown","Married","Secondary","No",-113,"Yes","Yes"
"1505","Yes",47,"White Collar","Divorced","Secondary","No",225,"No","No"
"1506","No",30,"White Collar","Married","Secondary","No",124,"No","No"
"1507","No",36,"White Collar","Single","Secondary","No",475,"No","No"
"1508","No",40,"White Collar","Married","Tertiary","No",-7,"No","Yes"
"1509","No",37,"Blue Collar","Single","Secondary","Yes",375,"No","No"
"1510","Yes",42,"White Collar","Divorced","Secondary","No",936,"No","No"
"1512","No",34,"Other/Unknown","Single","Secondary","No",0,"No","No"
"1513","No",27,"White Collar","Single","Secondary","No",3638,"No","No"
"1514","No",30,"Blue Collar","Married","Secondary","No",-99,"Yes","No"
"1515","No",32,"Blue Collar","Married","Secondary","No",167,"Yes","Yes"
"1516","No",46,"Other/Unknown","Married","Primary","No",19,"Yes","No"
"1517","No",29,"White Collar","Married","Tertiary","No",242,"Yes","No"
"1518","No",53,"Other/Unknown","Married","Unknown","No",13,"No","No"
"1520","No",49,"Other/Unknown","Married","Secondary","No",769,"Yes","No"
"1523","No",39,"White Collar","Married","Primary","No",238,"Yes","Yes"
"1524","No",34,"Blue Collar","Single","Secondary","No",2178,"Yes","No"
"1526","No",35,"Blue Collar","Single","Unknown","No",871,"Yes","No"
"1527","No",60,"White Collar","Married","Secondary","No",1025,"No","No"
"1528","No",57,"Blue Collar","Divorced","Secondary","No",63,"Yes","No"
"1529","No",31,"Blue Collar","Single","Secondary","No",16,"No","No"
"1530","No",29,"White Collar","Single","Secondary","No",417,"No","No"
"1531","No",41,"Blue Collar","Married","Secondary","No",3992,"Yes","No"
"1532","No",46,"Blue Collar","Married","Primary","No",2749,"Yes","No"
"1533","Yes",33,"Blue Collar","Married","Secondary","No",133,"No","No"
"1534","No",32,"Blue Collar","Single","Secondary","No",1721,"Yes","No"
"1535","Yes",54,"White Collar","Divorced","Tertiary","No",2171,"Yes","Yes"
"1537","No",32,"Blue Collar","Single","Secondary","No",2979,"No","No"
"1538","No",43,"White Collar","Married","Tertiary","No",690,"Yes","No"
"1540","No",34,"Blue Collar","Married","Secondary","No",322,"Yes","No"
"1541","No",31,"White Collar","Divorced","Secondary","No",1210,"No","No"
"1543","No",49,"White Collar","Married","Secondary","No",273,"No","No"
"1544","No",22,"Other/Unknown","Single","Unknown","No",47,"No","No"
"1545","No",35,"White Collar","Married","Tertiary","No",1100,"No","Yes"
"1546","No",56,"White Collar","Married","Secondary","No",0,"Yes","No"
"1547","No",53,"Blue Collar","Married","Secondary","No",0,"No","No"
"1550","No",41,"White Collar","Married","Secondary","No",28,"Yes","No"
"1551","No",40,"Blue Collar","Married","Secondary","No",1012,"Yes","No"
"1552","No",33,"Blue Collar","Married","Primary","No",245,"Yes","Yes"
"1553","No",33,"White Collar","Single","Tertiary","No",1998,"No","No"
"1554","No",34,"Blue Collar","Married","Secondary","No",3990,"Yes","No"
"1555","No",36,"Blue Collar","Married","Secondary","No",1328,"Yes","No"
"1556","No",34,"White Collar","Married","Tertiary","No",412,"Yes","Yes"
"1557","No",55,"White Collar","Married","Primary","No",229,"No","Yes"
"1558","Yes",28,"Other/Unknown","Single","Tertiary","No",1562,"No","No"
"1559","No",29,"White Collar","Single","Secondary","No",3432,"Yes","No"
